ensembl_id,gene_symbol,entrez_id,log2FoldChange,pvalue,padj,sig
ENSG00000166750,SLFN5,162394,1.601184066,2.33e-12,6.79e-11,Up
ENSG00000154124,OTULIN,90268,1.221810987,2.39e-12,6.97e-11,Up
ENSG00000164430,CGAS,115004,1.476264381,2.49e-12,7.22e-11,Up
ENSG00000174004,NRROS,375387,1.651024584,2.52e-12,7.31e-11,Up
ENSG00000103490,PYCARD,29108,1.491315847,2.64e-12,7.64e-11,Up
ENSG00000042088,TDP1,55775,1.060720915,2.67e-12,7.71e-11,Up
ENSG00000101017,CD40,958,1.280008989,2.72e-12,7.85e-11,Up
ENSG00000104974,LILRA1,11024,1.996245796,3.01e-12,8.63e-11,Up
ENSG00000099337,KCNK6,9424,1.755307014,3.11e-12,8.91e-11,Up
ENSG00000155657,TTN,7273,1.008332391,3.11e-12,8.91e-11,Up
ENSG00000214402,LCNL1,401562,3.171159206,3.18e-12,9.1e-11,Up
ENSG00000172183,ISG20,3669,1.526236997,3.19e-12,9.11e-11,Up
ENSG00000276043,UHRF1,29128,3.964694834,3.21e-12,9.16e-11,Up
ENSG00000173442,EHBP1L1,254102,1.556716743,3.31e-12,9.42e-11,Up
ENSG00000142185,TRPM2,7226,2.462288239,3.32e-12,9.46e-11,Up
ENSG00000012223,LTF,4057,3.446561812,3.39e-12,9.64e-11,Up
ENSG00000010295,IFFO1,25900,1.242248179,3.4e-12,9.65e-11,Up
ENSG00000169313,P2RY12,64805,2.766424141,3.5e-12,9.91e-11,Up
ENSG00000213809,"c(""KLRK1"", ""KLRC4-KLRK1"")","c(""22914"", ""100528032"")",3.044326868,3.66e-12,1.03e-10,Up
ENSG00000198846,TOX,9760,2.83173325,3.67e-12,1.04e-10,Up
ENSG00000163563,MNDA,4332,2.080341188,3.83e-12,1.08e-10,Up
ENSG00000145779,TNFAIP8,25816,1.077858304,3.88e-12,1.09e-10,Up
ENSG00000203710,CR1,1378,5.854704669,3.93e-12,1.1e-10,Up
ENSG00000186854,"c(""TRABD2A"", ""LOC105374836"")","c(""129293"", ""105374836"")",2.829139109,3.94e-12,1.1e-10,Up
ENSG00000132718,SYT11,23208,1.345601738,4.11e-12,1.14e-10,Up
ENSG00000065809,FAM107B,83641,1.759955891,4.23e-12,1.17e-10,Up
ENSG00000111424,VDR,7421,1.300553342,4.2e-12,1.17e-10,Up
ENSG00000183150,GPR19,2842,2.483876544,4.24e-12,1.18e-10,Up
ENSG00000121570,DPPA4,55211,3.495272669,4.27e-12,1.18e-10,Up
ENSG00000073734,ABCB11,8647,4.55902212,4.29e-12,1.19e-10,Up
ENSG00000144554,FANCD2,2177,2.361916932,4.38e-12,1.21e-10,Up
ENSG00000156787,TBC1D31,93594,1.080179858,4.45e-12,1.23e-10,Up
ENSG00000035720,STAP1,26228,5.992828056,4.63e-12,1.27e-10,Up
ENSG00000119403,PHF19,26147,1.311851897,4.87e-12,1.33e-10,Up
ENSG00000187474,FPR3,2359,2.581864915,4.9e-12,1.34e-10,Up
ENSG00000205220,PSMB10,5699,1.412299936,4.96e-12,1.35e-10,Up
ENSG00000156886,ITGAD,3681,4.593140128,5.02e-12,1.37e-10,Up
ENSG00000113532,ST8SIA4,7903,2.127894188,5.04e-12,1.37e-10,Up
ENSG00000049768,FOXP3,50943,2.004087036,5.09e-12,1.39e-10,Up
ENSG00000120802,TMPO,7112,1.412605314,5.15e-12,1.4e-10,Up
ENSG00000152256,PDK1,5163,2.078049474,5.19e-12,1.41e-10,Up
